2019-01-24-19-00;3560.3718;3594.7211;3560.3484;3581.6524;0;0;
2019-01-24-19-15;3581.6486;3583.6043;3576.8699;3577.3671;0;0;
2019-01-24-19-30;3577.5209;3582.4967;3572.9488;3574.0107;0;0;
2019-01-24-19-45;3573.9404;3580.3676;3572.7436;3578.3980;0;0;
2019-01-24-20-00;3578.3333;3590.3626;3578.0819;3579.9900;0;0;
2019-01-24-20-15;3579.9938;3582.3118;3577.8897;3579.2325;0;0;
2019-01-24-20-30;3579.2363;3580.9101;3571.3934;3571.4251;0;0;
2019-01-24-20-45;3571.4289;3571.7063;3566.2103;3569.8930;0;0;
2019-01-24-21-00;3570.1124;3571.1502;3566.6965;3568.9145;0;0;
2019-01-24-21-15;3569.1125;3571.1065;3568.8026;3569.7929;0;0;
2019-01-24-21-30;3569.7967;3570.0903;3566.6917;3567.5718;0;0;
2019-01-24-21-45;3567.6417;3571.0412;3567.6417;3570.8241;0;0;
2019-01-24-22-00;3570.8203;3576.9226;3570.6999;3571.7656;0;0;
2019-01-24-22-15;3571.7694;3573.2077;3570.4338;3572.5235;0;0;
2019-01-24-22-30;3572.5196;3573.4611;3569.3877;3571.4895;0;0;
2019-01-24-22-45;3571.4857;3572.1971;3566.2122;3566.8295;0;0;
2019-01-24-23-00;3566.8735;3573.3783;3560.4987;3573.3783;0;0;
2019-01-24-23-15;3573.3744;3574.4573;3566.6237;3569.3065;0;0;
2019-01-24-23-30;3569.3026;3572.1408;3566.3879;3567.6703;0;0;
2019-01-24-23-45;3567.6743;3569.8451;3565.0214;3569.6815;0;0;
2019-01-25-00-00;3569.6776;3572.2691;3569.6633;3571.3816;0;0;
2019-01-25-00-15;3571.4786;3573.5042;3570.5917;3573.5042;0;0;
2019-01-25-00-30;3573.5003;3573.5042;3571.3996;3571.7303;0;0;
2019-01-25-00-45;3571.7264;3572.3190;3568.6306;3569.5610;0;0;
2019-01-25-01-00;3569.5601;3570.5330;3565.0833;3565.5684;0;0;
2019-01-25-01-15;3565.8199;3571.3414;3565.8199;3571.3142;0;0;
2019-01-25-01-30;3571.3809;3576.1969;3571.0578;3575.7092;0;0;
2019-01-25-01-45;3575.7052;3577.8916;3574.7851;3577.2639;0;0;
2019-01-25-02-00;3577.2678;3577.2678;3574.7464;3575.7324;0;0;
2019-01-25-02-15;3575.6340;3577.5359;3575.3503;3576.3692;0;0;
2019-01-25-02-30;3576.3653;3576.7455;3567.9175;3570.1690;0;0;
2019-01-25-02-45;3570.1650;3571.3227;3568.2342;3568.8983;0;0;
2019-01-25-03-00;3568.8975;3573.7692;3568.1144;3571.9236;0;0;
2019-01-25-03-15;3571.9197;3574.3658;3570.1046;3573.7227;0;0;
2019-01-25-03-30;3574.0140;3575.0528;3571.8639;3572.0684;0;0;
2019-01-25-03-45;3572.0644;3572.4959;3568.1221;3569.3329;0;0;
2019-01-25-04-00;3569.0967;3571.5975;3568.7256;3571.1863;0;0;
2019-01-25-04-15;3571.1824;3572.9875;3570.5682;3571.9283;0;0;
2019-01-25-04-30;3571.9244;3571.9244;3570.4921;3570.5109;0;0;
2019-01-25-04-45;3570.5069;3571.9130;3570.5069;3571.8391;0;0;
2019-01-25-05-00;3571.8352;3571.9088;3560.2237;3560.2237;0;0;
2019-01-25-05-15;3560.1540;3563.5891;3552.0604;3561.2216;0;0;
2019-01-25-05-30;3560.9541;3565.2638;3559.3868;3565.2638;0;0;
2019-01-25-05-45;3565.3623;3568.0133;3563.2232;3564.0092;0;0;
2019-01-25-06-00;3564.0053;3568.6812;3562.5181;3566.5006;0;0;
2019-01-25-06-15;3566.2644;3567.7248;3565.6998;3566.3059;0;0;
2019-01-25-06-30;3566.0107;3568.0036;3562.4156;3562.4273;0;0;
2019-01-25-06-45;3562.4234;3563.8543;3561.8795;3563.4802;0;0;
2019-01-25-07-00;3563.5023;3564.4505;3560.3262;3564.4505;0;0;
2019-01-25-07-15;3564.4808;3566.2694;3563.3345;3565.2078;0;0;
2019-01-25-07-30;3565.2299;3566.5243;3564.4949;3566.3405;0;0;
2019-01-25-07-45;3566.4349;3567.1057;3564.5877;3566.1594;0;0;
2019-01-25-08-00;3566.1476;3566.8728;3556.7149;3558.2071;0;0;
2019-01-25-08-15;3558.1859;3559.2966;3555.0154;3556.3801;0;0;
2019-01-25-08-30;3556.3793;3557.4465;3554.9158;3556.5047;0;0;
2019-01-25-08-45;3556.3118;3556.5677;3515.3246;3543.7403;0;0;
2019-01-25-09-00;3543.6403;3557.9510;3540.6880;3553.3602;0;0;
2019-01-25-09-15;3553.3680;3553.3680;3547.0468;3551.8056;0;0;
2019-01-25-09-30;3551.8017;3553.9723;3548.4920;3552.8805;0;0;
2019-01-25-09-45;3552.6594;3553.2546;3550.1400;3552.5400;0;0;
2019-01-25-10-00;3552.5439;3552.9772;3543.1981;3543.2021;0;0;
2019-01-25-10-15;3543.1981;3543.9899;3538.8534;3543.7820;0;0;
2019-01-25-10-30;3543.7780;3544.3640;3537.5245;3540.7602;0;0;
2019-01-25-10-45;3540.7563;3542.4536;3539.7106;3541.9700;0;0;
2019-01-25-11-00;3541.5761;3543.7805;3538.4262;3540.3328;0;0;
2019-01-25-11-15;3540.4028;3555.2922;3538.8453;3539.1968;0;0;
2019-01-25-11-30;3539.2913;3540.2362;3524.3637;3533.7364;0;0;
2019-01-25-11-45;3532.6244;3539.6936;3532.3773;3534.6700;0;0;
2019-01-25-12-00;3534.5216;3537.6648;3530.7297;3533.2429;0;0;
2019-01-25-12-15;3533.2437;3537.7939;3532.9298;3535.0192;0;0;
2019-01-25-12-30;3536.1281;3540.4496;3534.6589;3540.1447;0;0;
2019-01-25-12-45;3540.4295;3545.0488;3539.5943;3544.6238;0;0;
2019-01-25-13-00;3544.5917;3549.7398;3539.9315;3548.9515;0;0;
